"Age";"Genre";"Taille en cm";"Année d'étude";"Filière";"Pays de naissance";"Année d'obtention du baccalauréat ou équivalent";"Enseignements de spécialité en terminale (si bac à spécialités)";"Filière de votre bac si pas de spécialité";"Votre licence est...";"Temps de travail personnel (scolaire) la semaine dernière en heure";"Moyen de transport principal pour venir à la faculté au quotidien";"Temps de trajets en minutes pour venir à la faculté au quotidien";"Fumez-vous du tabac ?";"Rythme de consommation d'alcool";"Nombre de soirées par semaine en moyenne";"Vos phobies";"Plateforme d'accès aux jeux vidéos";"Système d'exploitation de votre téléphone";"Temps de possession votre téléphone actuel en année";"Système d'exploitation de votre ordinateur";"Temps de possession votre ordinateur actuel en année";"Support principal pour la prise de note en cours";"Matériels possédés";"Réseau social le plus utilisé";"Temps passé par jour sur les réseaux sociaux en heure";"Temps passé par jour sur votre téléphone en heure";"Principales sources d'information";"Quelle est la plus large chaîne de montagne du monde ?";"Quel est le nom de la femme noire qui a refusé de céder sa place à un homme blanc dans un bus en 1955 aux États-Unis ?";"Au cours de quel siècle, Cléopâtre, a-t-elle régné ?";"Quel naturaliste a révolutionné la biologie avec son ouvrage “L'Origine des espèces” paru en 1859 ?";"À quel mot correspond la définition suivante : répartition dans le temps d’une charge financière correspondant au remplacement d’un bien, machine, appareil, etc. ?";"Qui est Niki de Saint Phalle ?";"Combien de temps dure la rotation complète de la Lune autour de la Terre ?";"En quelle année est définitivement proclamée l’abolition de l’esclavage en France ?";"Qui a inventé l'expression ""la main invisible"" ?";"Quel écrivain et philosophe français a raconté l’histoire de Candide ?";"Avez-bien joué le jeu et répondu sans consulté de source d'information ?";"Nombre de réponses juste estimées";"spe_maths";"spe_SES";"spe_HGP";"spe_HLP";"spe_NSI";"spe_PC";"spe_autre";"spe_bacsansspe";"phobie_chien";"phobie_araignees";"phobie_foule";"phobie_veillir";"phobie_noir";"phobie_sang";"phobie_claustro";"phobie_sociale";"phobie_germe";"phobie_hauteur";"phobie_nombre";"jv_PC";"jv_playstation";"jv_xbox";"jv_nintendo";"jv_teltab";"jv_autre";"jv_nejouepas";"materiel_tel";"materiel_tablette";"materiel_ordinateur";"materiel_montreconnectee";"materiel_aucun";"infosource_journalpapier";"infosource_journal_inline";"infosource_autre_ecritinline";"infosource_télévision";"infosource_radio";"infosource_video";"infosource_RS";"infosource_autre";"Q1_montagne";"Q2_bus";"Q3_cleopatre";"Q4_origineespeces";"Q5_finance";"Q6_Niki";"Q7_lune";"Q8_esclavage";"Q9_main";"Q10_candide";"nb_bonnes_reponses";"surestimation"
21;"Masculin";183;"L3";"Économie";"Bénin";2019;"Autre(s) spécialité(s)";"S";"... votre choix après une réorientation.";0;"en transport en commun (bus, tram, train)";17;"Non et je n'ai jamais vraiment fumé";"Moins d'une fois par mois";0;"Peur des chiens";"PC   Xbox   Nintendo   téléphone/tablette";"iOs";3;"Windows";5;"papier";"téléphone   tablette   ordinateur   montre connectée";"Snapchat";4;8;"journal en ligne   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Rosa Parks";"3e siècle avant JC";"Charles Darwin";"amortissement";"une autrice";"21 jours";1802;"Adam Smith";"Voltaire";"oui";5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;6;-1
22;"Masculin";183;"L3";"Économie";"France";2018;NA;"S";"... votre premier choix d'orientation post-bac.";5;"en transport en commun (bus, tram, train)";30;"Non et je n'ai jamais vraiment fumé";"Moins d'une fois par semaine";1;"Acrophobie, peur de la hauteur";"Playstation";"Android";1;"Windows";5;"papier";"téléphone   tablette   ordinateur   montre connectée";"Instagram";1;2;"télévision   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Georges-Louis Leclerc de Buffon";"amortissement";"une couturière";"21 jours";1848;"Adam Smith";"Voltaire";"oui";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;1;1;7;-2
20;"Masculin";179;"L3";"Économie";"France";2020;"Mathématiques   Numérique et sciences informatiques";"Bac à spécialités";"... pas votre premier choix mais pas non plus le dernier choix d'orientation post-bac.";5.5;"en transport en commun (bus, tram, train)";17;"Oui, régulièrement";"Environ une fois par semaine";2;"Peur des araignées   Claustrophobie";"Je ne joue pas aux jeux vidéos.";"iOs";1.5;"MacOS";4;"tablette";"téléphone   tablette   ordinateur";"Instagram";1;5;"journal en ligne   télévision   vidéo sur internet (youtube, twitch, etc.)";"l'Himalaya";"Rosa Parks";"3e siècle avant JC";"Charles Darwin";"amortissement";"une couturière";"28 jours";1848;"Adam Smith";"Voltaire";"presque...";5;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;8;-3
23;"Féminin";NA;"L3";"Économie";"Algérie";2018;"Sciences économiques et sociales";"ES";"... votre premier choix d'orientation post-bac.";2;"en transport en commun (bus, tram, train)";10;"Non et je n'ai jamais vraiment fumé";"Jamais";1;"Je n'ai peur de rien de cela.";"Je ne joue pas aux jeux vidéos.";"Android";5;"Windows";1;"papier";"téléphone   ordinateur";"TikTok";5;5;"télévision   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Oprah Winfrey";"7e siècle avant JC";"Charles Darwin";"amortissement";"une actrice";"14 jours";1802;"Paul Anthony Samuelson";"Molière";"oui";7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;3;4
25;"Masculin";173;"L3";"Économie";"Congo";2013;"Autre(s) spécialité(s)";"Bac à spécialités";"... pas votre premier choix mais pas non plus le dernier choix d'orientation post-bac.";70;"en transport en commun (bus, tram, train)";12;"Non et je n'ai jamais vraiment fumé";"Jamais";0;"Je n'ai peur de rien de cela.";"téléphone/tablette";"Android";3;"Windows";1.5;"papier";"téléphone   ordinateur";"Facebook";1;12;"vidéo sur internet (youtube, twitch, etc.)";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"amortissement";"une actrice";"28 jours";1848;"Adam Smith";"Voltaire";"oui";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;9;1
21;"Féminin";156;"L3";"Économie";"France";2017;"Sciences économiques et sociales";"ES";"... votre choix après une réorientation.";2;"à pied";15;"Non et je n'ai jamais vraiment fumé";"Jamais";0;"Peur des chiens   Peur des araignées";"Je ne joue pas aux jeux vidéos.";"iOs";3;"Windows";1;"papier";"téléphone   tablette   ordinateur";"Snapchat";7;9;"journal en ligne   autre sources écrite en ligne   télévision   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Angela Davis";"5e siècle avant JC";"Georges-Louis Leclerc de Buffon";"amortissement";"une autrice";"21 jours";1802;"Paul Anthony Samuelson";"Rousseau";"oui";0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;2;-2
19;"Masculin";185;"L3";"Économie";"France";2021;"Mathématiques   Sciences économiques et sociales";"Bac à spécialités";"... votre premier choix d'orientation post-bac.";2;"en voiture seul";10;"Non et je n'ai jamais vraiment fumé";"Jamais";0;"Peur des araignées";"PC   Playstation";"iOs";8;"MacOS";2;"ordinateur";"téléphone   ordinateur";"TikTok";3;6;"vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"l'Himalaya";"Rosa Parks";"3e siècle avant JC";"Charles Darwin";"amortissement";"une autrice";"28 jours";1848;"Adam Smith";"Voltaire";"oui";8;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;8;0
23;"Masculin";187;"L3";"Économie";"France";2018;"Mathématiques";"S";"... votre choix après une réorientation.";0.2;"en transport en commun (bus, tram, train)";20;"Oui occasionnellement";"Plusieurs fois par semaine";2;"Je n'ai peur de rien de cela.";"PC";"iOs";2;"MacOS";3;"ordinateur";"téléphone   tablette   ordinateur";"Twitter";2;3;"vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"28 jours";1848;"Adam Smith";"Voltaire";"presque...";10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;10;0
20;"Masculin";177;"L3";"Économie";"France";2020;"Mathématiques   Physique-chimie";"Bac à spécialités";"... votre premier choix d'orientation post-bac.";10;"en transport en commun (bus, tram, train)";12;"Non et je n'ai jamais vraiment fumé";"Moins d'une fois par semaine";1;"Je n'ai peur de rien de cela.";"Playstation";"iOs";8;"MacOS";3;"ordinateur";"téléphone   ordinateur";"Snapchat";2;4;"journal en ligne   vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"amortissement";"une couturière";"28 jours";1848;"Adam Smith";"Voltaire";"oui";7;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;9;-2
22;"Masculin";185;"L3";"Économie";"France";2018;"Bac sans spécialité";"STMG";"... votre choix après une réorientation.";0;"en voiture seul";10;"Non et je n'ai jamais vraiment fumé";"Jamais";0;"Je n'ai peur de rien de cela.";"PC   téléphone/tablette";"iOs";3;"MacOS";2;"ordinateur";"téléphone   ordinateur";"Twitter";3;9;"vidéo sur internet (youtube, twitch, etc.)   réseaux sociaux";"la cordillère des Andes";"Rosa Parks";"1er siècle avant JC";"Charles Darwin";"amortissement";"une peintre";"28 jours";1802;"Adam Smith";"Voltaire";"presque...";8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;9;-1
