id_client,plafond_credit_eur,sexe,niveau_education,situation_familiale,age,retard_paiement_sep_2023,retard_paiement_aou_2023,retard_paiement_juil_2023,retard_paiement_juin_2023,retard_paiement_mai_2023,retard_paiement_avr_2023,encours_carte_sep_2023_eur,encours_carte_aou_2023_eur,encours_carte_juil_2023_eur,encours_carte_juin_2023_eur,encours_carte_mai_2023_eur,encours_carte_avr_2023_eur,montant_rembourse_sep_2023_eur,montant_rembourse_aou_2023_eur,montant_rembourse_juil_2023_eur,montant_rembourse_juin_2023_eur,montant_rembourse_mai_2023_eur,montant_rembourse_avr_2023_eur,defaut_paiement_mois_suivant
1,560,2,2,1,24,2,2,-1,-1,-2,-2,110,87,19,0,0,0,0,19,0,0,0,0,1
2,3360,2,2,2,26,-1,2,0,0,0,2,75,48,75,92,97,91,0,28,28,28,0,56,1
3,2520,2,2,2,34,0,0,0,0,0,0,819,393,380,401,419,435,43,42,28,28,28,140,0
4,1400,2,2,1,37,0,0,0,0,0,0,1316,1351,1380,793,811,827,56,57,34,31,30,28,0
5,1400,1,2,1,57,-1,0,-1,0,0,0,241,159,1003,586,536,536,56,1027,280,252,19,19,0
6,1400,1,1,2,37,0,0,0,0,0,0,1803,1598,1613,543,549,561,70,51,18,28,28,22,0
7,14000,1,1,2,29,0,0,0,0,0,0,10303,11537,12460,15194,13524,13270,1540,1120,1064,567,385,386,0
8,2800,2,2,2,23,0,-1,-1,0,0,-1,333,11,17,6,-4,16,11,17,0,16,47,43,0
9,3920,2,3,1,28,0,0,2,0,0,0,316,395,339,342,330,104,93,0,12,28,28,28,0
10,560,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,364,390,0,0,0,364,31,0,0
11,5600,2,3,2,34,0,0,2,0,0,-1,310,274,155,70,51,104,65,0,1,8,105,2,0
12,7280,2,1,2,51,-1,-1,-1,-1,-1,2,343,607,279,238,624,383,611,279,240,624,0,102,0
13,17640,2,2,2,41,-1,0,-1,-1,-1,-1,340,182,182,182,182,80,28,182,182,182,80,0,0
14,1960,1,2,2,30,1,2,2,0,0,2,1842,1886,1840,1870,1012,1033,90,0,84,84,42,0,1
15,7000,1,1,2,29,0,0,0,0,0,0,1985,1878,1780,1671,1592,1554,84,84,84,84,84,84,0
16,1400,2,3,3,23,1,2,0,0,0,0,1417,817,787,806,827,846,0,42,31,34,36,31,0
17,560,1,1,2,24,0,0,2,2,2,2,431,504,488,513,501,535,90,0,42,0,46,0,1
18,8960,1,1,1,49,0,0,0,-1,-1,-1,7092,6903,5451,1962,164,5477,290,280,2126,560,5477,1400,0
19,10080,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5040,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3640,2,3,2,39,0,0,0,0,0,-1,1074,775,686,577,330,26,84,43,28,56,26,945,0
22,3360,2,2,1,39,-1,-1,-1,-1,-1,-1,9,9,9,0,18,9,9,9,0,18,9,0,1
23,1960,2,2,2,26,2,0,0,2,2,2,1150,1188,1261,1232,1313,1288,56,100,0,101,0,51,1
24,12600,2,1,1,40,-2,-2,-2,-2,-2,-2,154,544,41,16,0,0,544,41,16,0,0,32,1
25,2520,1,1,2,23,0,0,0,-1,0,0,133,198,0,151,178,232,161,0,151,34,57,56,0
26,1400,1,3,2,23,0,0,0,0,0,0,1333,1171,1009,811,835,841,55,40,28,40,30,28,0
27,1680,1,1,2,27,1,-2,-1,-1,-1,-1,-3,-12,7,-2,4,-5,0,28,0,14,0,28,1
28,1400,2,3,2,30,0,0,0,0,0,0,631,452,481,501,530,549,36,36,28,42,28,28,0
29,1400,2,3,1,47,-1,-1,-1,-1,-1,-1,18,96,96,57,852,7,96,96,57,852,7,0,0
30,1400,1,1,2,26,0,0,0,0,0,0,429,464,490,501,514,319,42,42,28,28,45,0,0
31,6440,2,1,2,27,-1,-1,-1,-1,-1,-1,466,483,371,429,401,1034,484,372,429,401,1044,0,0
32,1400,1,2,2,33,2,0,0,0,0,0,855,829,619,637,650,663,48,42,28,28,28,20,1
33,2800,1,1,2,32,0,0,0,0,0,0,2605,2354,2321,2267,2204,2116,85,98,92,90,90,70,0
34,14000,2,2,1,54,-2,-2,-2,-2,-2,-2,306,116,636,211,2000,251,116,639,211,2000,27,1444,0
35,14000,1,1,1,58,-2,-2,-2,-2,-2,-2,384,140,872,89,0,148,140,873,89,0,148,22,0
36,4480,1,1,2,30,-1,-1,-2,-2,-2,-1,847,-4,-15,-26,-42,-53,4,11,11,16,22,0,0
37,7840,1,2,1,40,0,0,0,0,0,0,5222,5077,5052,4771,4869,4968,225,226,176,179,179,189,0
38,1680,2,2,2,22,0,0,0,0,0,-1,422,275,310,169,-793,522,42,43,57,0,1335,17,0
39,1400,1,1,2,25,1,-1,-1,-2,-2,-2,0,22,0,0,0,0,22,0,0,0,0,0,1
40,7840,1,1,2,31,-1,-1,2,-1,0,-1,14,254,130,279,503,265,254,0,279,224,267,22,0
41,10080,1,1,2,33,0,0,0,0,0,0,6123,6196,5793,17604,5487,5018,280,196,168,5288,784,112,0
42,1960,2,1,2,25,0,0,0,0,0,0,1891,1876,1791,1784,1812,1847,84,126,113,70,78,70,0
43,280,1,2,2,22,0,0,0,0,0,0,53,89,168,100,103,125,42,82,28,8,28,14,0
44,3920,2,2,1,37,0,0,0,0,0,0,1666,1723,1762,1800,1878,1954,84,84,84,112,112,84,0
45,1120,2,1,2,30,0,0,0,2,0,0,530,596,726,706,746,818,84,140,0,56,84,0,0
46,5880,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
47,560,2,1,2,22,0,0,2,-1,0,0,393,462,442,458,467,0,84,0,469,9,0,0,1
48,4200,2,5,2,46,0,0,-1,0,0,-2,125,85,33,33,0,0,28,33,0,0,0,0,1
49,10640,1,2,2,32,-1,-1,-1,-1,-1,-1,627,603,424,897,332,332,603,424,691,332,332,231,0
50,560,1,1,2,24,0,0,0,0,0,0,489,517,545,556,573,562,37,37,20,26,26,30,0
51,1960,1,3,2,42,1,2,2,2,2,0,1037,1013,1074,1104,1082,1102,0,87,56,0,42,42,1
52,2800,2,3,3,43,0,0,0,0,0,0,1724,1433,1227,1109,1001,931,56,45,42,56,42,28,0
53,8680,2,2,1,49,-2,-2,-2,-2,-2,-2,377,220,213,313,99,13,220,213,313,99,13,0,0
54,5040,2,1,2,25,1,2,0,0,0,0,1159,1169,1197,1218,1244,1269,36,56,49,49,50,45,0
55,4200,2,1,2,29,2,0,0,0,0,0,1294,980,880,743,589,463,45,48,29,42,56,140,0
56,14000,2,1,1,45,-2,-2,-2,-2,-2,-2,53,102,5,0,4,71,102,5,0,4,71,0,0
57,5040,2,3,1,34,0,0,0,-1,-1,-1,459,442,236,200,-19,233,238,42,210,19,252,56,0
58,5040,2,2,1,34,0,0,0,0,0,0,4925,4856,4825,4721,3702,3638,226,204,147,135,135,106,0
59,5600,2,1,2,34,-1,3,2,2,2,2,44,31,22,33,20,40,0,0,20,0,34,0,0
60,11200,2,2,1,29,0,0,0,0,0,0,11204,11168,11318,10086,9986,10194,476,421,840,336,336,644,0
61,14000,2,3,1,28,0,0,0,0,0,0,640,662,529,418,387,436,42,36,28,28,56,56,1
62,1960,1,2,1,39,0,0,0,0,0,-1,1982,2018,1958,463,395,23,113,59,28,56,84,0,0
63,1400,1,1,2,29,2,2,2,2,2,2,700,680,745,724,775,791,0,76,0,62,34,0,1
64,1400,2,2,1,46,0,0,0,-2,-2,-2,804,817,0,0,0,0,28,0,0,0,0,0,1
65,3640,2,2,1,51,-1,-1,-2,-2,-1,-1,3,0,0,0,66,0,0,0,0,66,0,0,0
66,5600,1,1,1,57,-2,-2,-2,-1,2,2,4271,4165,4034,229,230,222,0,0,230,8,0,28,1
67,280,1,2,1,56,2,2,2,0,0,0,59,117,111,114,117,121,64,0,4,6,6,4,1
68,5880,2,1,2,30,2,-1,-1,-1,-1,-1,8,8,32,64,8,119,8,32,64,8,119,25,0
69,3640,2,3,2,29,1,-2,-2,-1,2,-1,-5,-276,-276,289,285,205,0,0,565,0,205,389,0
70,560,1,5,2,22,2,0,0,0,0,0,520,482,484,506,314,167,0,34,28,14,28,0,0
71,2240,1,1,2,31,-1,-1,-1,-1,-1,-1,22,0,11,11,11,11,0,11,11,11,11,11,0
72,8960,1,2,2,29,2,2,2,2,2,2,1631,1659,1685,1641,1745,1779,70,70,0,134,67,45,1
73,5600,2,2,1,32,-1,-1,-1,-1,2,-1,254,162,-19,147,108,88,163,0,255,0,89,39,0
74,8120,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,88,0,66,0,0,88,0,66,0,0,0
75,9520,1,1,2,32,-1,-1,-1,-1,-1,-1,85,155,653,120,2244,723,160,657,121,2255,727,56,0
